date,maturity,value
1985-01-31,2.5,0.06803653858251364
1985-01-31,2.5833333333333335,0.06830324490709677
1985-01-31,2.6666666666666665,0.068563715494817
1985-01-31,2.75,0.06881810457581544
1985-01-31,2.8333333333333335,0.06906655831883984
1985-01-31,2.9166666666666665,0.06930921821209494
1985-01-31,3.0,0.069546224083909
1985-01-31,3.0833333333333335,0.06977771456303011
1985-01-31,3.1666666666666665,0.0700038272364662
1985-01-31,3.25,0.07022469878304156
1985-01-31,3.3333333333333335,0.07044046506751185
1985-01-31,3.4166666666666665,0.07065126076495988
1985-01-31,3.5,0.07085721869360696
1985-01-31,3.5833333333333335,0.07105846988683145
1985-01-31,3.6666666666666665,0.07125514379575047
1985-01-31,3.75,0.07144736846481464
1985-01-31,3.8333333333333335,0.07163527049488727
1985-01-31,3.9166666666666665,0.07181897408649682
1985-01-31,4.0,0.07199860062013115
1985-01-31,4.083333333333333,0.07217426891438304
1985-01-31,4.166666666666667,0.07234609541431464
1985-01-31,4.25,0.07251419407892284
1985-01-31,4.333333333333333,0.0726786764352419
1985-01-31,4.416666666666667,0.07283965138718523
1985-01-31,4.5,0.07299722157025611
1985-01-31,4.583333333333333,0.07315148040786244
1985-01-31,4.666666666666667,0.07330251267856693
1985-01-31,4.75,0.07345039530570847
1985-01-31,4.833333333333333,0.07359519790390207
1985-01-31,4.916666666666667,0.07373698328648023
1985-01-31,5.0,0.07387580802136857
1985-02-28,2.4166666666666665,0.07894754993064254
1985-02-28,2.5,0.07898746525377337
1985-02-28,2.5833333333333335,0.0790317198324616
1985-02-28,2.6666666666666665,0.07907949407747523
1985-02-28,2.75,0.07913006762334451
1985-02-28,2.8333333333333335,0.07918281036635648
1985-02-28,2.9166666666666665,0.0792371766837626
1985-02-28,3.0,0.07929269458337748
1985-02-28,3.0833333333333335,0.07934895575361862
1985-02-28,3.1666666666666665,0.07940560718447962
1985-02-28,3.25,0.07946234409144289
1985-02-28,3.3333333333333335,0.0795189043492745
1985-02-28,3.4166666666666665,0.07957506422690595
1985-02-28,3.5,0.07963063402020466
1985-02-28,3.5833333333333335,0.07968545409615228
1985-02-28,3.6666666666666665,0.07973939147564846
1985-02-28,3.75,0.07979233677571855
1985-02-28,3.8333333333333335,0.07984420094998014
1985-02-28,3.9166666666666665,0.07989491262684398
1985-02-28,4.0,0.07994441623966622
1985-02-28,4.083333333333333,0.07999267034777845
1985-02-28,4.166666666666667,0.08003964581017373
1985-02-28,4.25,0.08008532431593855
1985-02-28,4.333333333333333,0.0801296971253091
1985-02-28,4.416666666666667,0.08017276171859031
1985-02-28,4.5,0.08021451851230545
1985-02-28,4.583333333333333,0.08025497006522002
1985-02-28,4.666666666666667,0.08029412058341447
1985-02-28,4.75,0.08033197510418333
1985-02-28,4.833333333333333,0.08036853878596568
1985-02-28,4.916666666666667,0.08040381683866997
1985-02-28,5.0,0.08043781431879764
1985-03-31,2.3333333333333335,0.07240896998249449
1985-03-31,2.4166666666666665,0.07257782128889985
1985-03-31,2.5,0.07273969237090633
1985-03-31,2.5833333333333335,0.0728947549274905
1985-03-31,2.6666666666666665,0.07304319053854658
1985-03-31,2.75,0.07318518545413762
1985-03-31,2.8333333333333335,0.07332092541127884
1985-03-31,2.9166666666666665,0.07345059517813646
1985-03-31,3.0,0.07357437868855325
1985-03-31,3.0833333333333335,0.07369245915479486
1985-03-31,3.1666666666666665,0.07380501914175558
1985-03-31,3.25,0.07391224001097058
1985-03-31,3.3333333333333335,0.07401430082948417
1985-03-31,3.4166666666666665,0.07411137839275952
1985-03-31,3.5,0.07420364749426485
1985-03-31,3.5833333333333335,0.07429128115823345
1985-03-31,3.6666666666666665,0.0743744507631303
1985-03-31,3.75,0.07445332569292963
1985-03-31,3.8333333333333335,0.07452807318841467
1985-03-31,3.9166666666666665,0.0745988585553394
1985-03-31,4.0,0.07466584527141029
1985-03-31,4.083333333333333,0.07472919461110825
1985-03-31,4.166666666666667,0.07478906552280981
1985-03-31,4.25,0.0748456144018559
1985-03-31,4.333333333333333,0.07489899047979609
1985-03-31,4.416666666666667,0.07494933158887913
1985-03-31,4.5,0.07499676463377636
1985-03-31,4.583333333333333,0.07504140643176767
1985-03-31,4.666666666666667,0.07508336428445993
1985-03-31,4.75,0.0751227365124954
1985-03-31,4.833333333333333,0.0751596132039933
1985-03-31,4.916666666666667,0.07519407688367218
1985-03-31,5.0,0.07522620276845901
1985-04-30,2.25,0.06884210383574751
1985-04-30,2.3333333333333335,0.06898747134886016
1985-04-30,2.4166666666666665,0.06912912514998981
1985-04-30,2.5,0.06926706072474506
1985-04-30,2.5833333333333335,0.06940128674279543
1985-04-30,2.6666666666666665,0.06953182261120917
1985-04-30,2.75,0.06965869636566503
1985-04-30,2.8333333333333335,0.06978194334270643
1985-04-30,2.9166666666666665,0.06990160513675452
1985-04-30,3.0,0.07001772873095835
1985-04-30,3.0833333333333335,0.07013036578901408
1985-04-30,3.1666666666666665,0.07023957269110982
1985-04-30,3.25,0.07034541123391634
1985-04-30,3.3333333333333335,0.0704479482326608
1985-04-30,3.4166666666666665,0.07054725491014747
1985-04-30,3.5,0.07064340637206726
1985-04-30,3.5833333333333335,0.07073648123026767
1985-04-30,3.6666666666666665,0.07082656173557889
1985-04-30,3.75,0.07091373374964348
1985-04-30,3.8333333333333335,0.07099808637367476
1985-04-30,3.9166666666666665,0.07107971159656318
1985-04-30,4.0,0.07115870394942111
1985-04-30,4.083333333333333,0.07123516021806568
1985-04-30,4.166666666666667,0.0713091787847944
1985-04-30,4.25,0.07138085456498791
